event_id,user_id,department,tool,feature,event_date,session_duration_mins,actions_taken,month
EVT00056,USR0229,Marketing,Power BI,Video Conferencing,2025-03-17,19.0,4,2025-03
EVT00057,USR0282,Technology,Microsoft Teams,Video Conferencing,2025-06-10,45.7,8,2025-06
EVT00058,USR0061,Technology,SharePoint,Team Chat,2025-06-08,22.7,0,2025-06
EVT00059,USR0251,Technology,Power BI,Analytics Portal,2025-04-03,58.4,16,2025-04
EVT00060,USR0170,Finance,Power BI,Document Collaboration,2025-05-28,25.1,3,2025-05
EVT00061,USR0220,Legal,SharePoint,File Sharing,2025-02-19,6.3,0,2025-02
EVT00062,USR0106,Sales,SharePoint,Project Management,2025-06-30,26.3,2,2025-06
EVT00063,USR0266,HR,OneDrive,File Sharing,2025-01-18,14.4,6,2025-01
EVT00064,USR0027,HR,OneDrive,File Sharing,2025-01-12,12.2,4,2025-01
EVT00065,USR0200,Sales,SharePoint,Team Chat,2025-06-19,39.1,7,2025-06
EVT00066,USR0260,Finance,SharePoint,Analytics Portal,2025-02-28,42.3,9,2025-02
EVT00067,USR0124,Marketing,Viva Insights,Document Collaboration,2025-03-16,39.0,5,2025-03
EVT00068,USR0225,Operations,OneDrive,Project Management,2025-01-21,6.4,10,2025-01
EVT00069,USR0076,Marketing,OneDrive,Video Conferencing,2025-03-01,34.2,4,2025-03
EVT00070,USR0127,Technology,Power BI,File Sharing,2025-01-26,49.2,1,2025-01
EVT00071,USR0039,HR,OneDrive,File Sharing,2025-04-08,25.1,3,2025-04
EVT00072,USR0248,Finance,SharePoint,Project Management,2025-03-13,12.5,5,2025-03
EVT00073,USR0156,Sales,Microsoft Teams,Video Conferencing,2025-04-27,20.8,6,2025-04
EVT00074,USR0247,Technology,OneDrive,File Sharing,2025-06-12,3.3,8,2025-06
EVT00075,USR0083,Legal,Microsoft Teams,Video Conferencing,2025-04-04,12.9,1,2025-04
EVT00076,USR0199,Technology,Microsoft Teams,Video Conferencing,2025-02-11,34.7,1,2025-02
EVT00077,USR0252,Marketing,Microsoft Teams,Team Chat,2025-04-05,10.2,0,2025-04
EVT00078,USR0262,Sales,Microsoft Teams,Document Collaboration,2025-04-01,21.8,1,2025-04
EVT00079,USR0156,Sales,Microsoft Teams,File Sharing,2025-02-23,24.6,4,2025-02
EVT00080,USR0273,Finance,Viva Insights,Video Conferencing,2025-06-21,6.0,0,2025-06
EVT00081,USR0193,Finance,Viva Insights,Team Chat,2025-03-10,6.5,1,2025-03
EVT00082,USR0285,Technology,Microsoft Teams,Project Management,2025-06-29,13.5,11,2025-06
EVT00083,USR0118,HR,Power BI,Project Management,2025-06-24,7.2,1,2025-06
EVT00084,USR0204,Legal,OneDrive,Document Collaboration,2025-06-15,21.0,2,2025-06
EVT00085,USR0216,Marketing,SharePoint,Team Chat,2025-01-19,14.1,1,2025-01
EVT00086,USR0294,Legal,SharePoint,Analytics Portal,2025-06-05,7.4,3,2025-06
EVT00087,USR0257,Operations,SharePoint,Video Conferencing,2025-06-12,16.6,6,2025-06
EVT00088,USR0118,HR,OneDrive,Video Conferencing,2025-02-13,10.3,5,2025-02
EVT00089,USR0078,Operations,Viva Insights,Analytics Portal,2025-05-17,13.8,1,2025-05
EVT00090,USR0006,Finance,Microsoft Teams,Project Management,2025-03-04,22.9,3,2025-03
EVT00091,USR0122,Sales,Power BI,File Sharing,2025-02-11,24.8,6,2025-02
EVT00092,USR0267,Marketing,Microsoft Teams,Project Management,2025-04-29,14.8,8,2025-04
EVT00093,USR0291,Marketing,OneDrive,Team Chat,2025-04-08,14.7,2,2025-04
EVT00094,USR0123,Technology,Power BI,Team Chat,2025-03-11,41.1,9,2025-03
EVT00095,USR0054,Technology,Viva Insights,Document Collaboration,2025-06-13,51.3,11,2025-06
EVT00096,USR0135,Marketing,Power BI,Video Conferencing,2025-06-26,43.7,12,2025-06
EVT00097,USR0186,Marketing,Microsoft Teams,File Sharing,2025-05-23,47.2,6,2025-05
EVT00098,USR0228,Finance,SharePoint,Document Collaboration,2025-02-26,11.4,6,2025-02
EVT00099,USR0100,HR,Power BI,Video Conferencing,2025-06-25,29.9,1,2025-06
EVT00100,USR0287,Sales,OneDrive,Document Collaboration,2025-03-25,12.4,5,2025-03
EVT00101,USR0107,Legal,OneDrive,Team Chat,2025-01-15,9.6,0,2025-01
EVT00102,USR0034,Legal,Power BI,Document Collaboration,2025-02-28,25.3,6,2025-02
EVT00103,USR0077,Sales,Power BI,Document Collaboration,2025-01-09,18.8,3,2025-01
EVT00104,USR0207,Legal,Viva Insights,File Sharing,2025-03-22,26.1,1,2025-03
EVT00105,USR0242,Legal,Power BI,Analytics Portal,2025-04-13,2.5,0,2025-04
EVT00106,USR0149,Technology,Microsoft Teams,Document Collaboration,2025-03-10,45.2,11,2025-03
EVT00107,USR0198,Sales,Power BI,Team Chat,2025-01-17,6.6,7,2025-01
EVT00108,USR0028,Finance,Viva Insights,Analytics Portal,2025-02-24,35.5,3,2025-02
EVT00109,USR0129,Legal,Microsoft Teams,Document Collaboration,2025-05-26,10.1,0,2025-05
EVT00110,USR0164,HR,Microsoft Teams,Video Conferencing,2025-03-22,0.6,4,2025-03
EVT00111,USR0165,Finance,Power BI,Project Management,2025-02-24,30.1,12,2025-02
EVT00112,USR0069,Technology,Microsoft Teams,Video Conferencing,2025-06-17,25.4,2,2025-06
EVT00113,USR0037,Operations,Power BI,Team Chat,2025-05-08,59.0,17,2025-05
EVT00114,USR0125,Technology,SharePoint,Video Conferencing,2025-04-12,32.3,2,2025-04
EVT00115,USR0066,HR,Power BI,Document Collaboration,2025-06-14,33.6,9,2025-06
EVT00116,USR0218,Sales,OneDrive,Analytics Portal,2025-04-28,30.2,5,2025-04
EVT00117,USR0288,Legal,SharePoint,File Sharing,2025-02-06,10.0,4,2025-02
EVT00118,USR0192,Operations,Microsoft Teams,File Sharing,2025-03-09,13.2,6,2025-03
EVT00119,USR0021,Legal,Power BI,File Sharing,2025-02-05,20.9,8,2025-02
EVT00120,USR0242,Legal,Microsoft Teams,Document Collaboration,2025-03-05,5.7,1,2025-03
EVT00121,USR0278,Legal,Power BI,File Sharing,2025-05-24,9.4,5,2025-05
EVT00122,USR0036,Operations,OneDrive,Project Management,2025-05-18,13.3,4,2025-05
EVT00123,USR0276,Finance,OneDrive,Document Collaboration,2025-03-09,31.8,10,2025-03
EVT00124,USR0154,Marketing,Microsoft Teams,File Sharing,2025-05-30,15.0,0,2025-05
EVT00125,USR0033,Technology,Power BI,Project Management,2025-04-20,29.3,5,2025-04
EVT00126,USR0134,Finance,Viva Insights,Analytics Portal,2025-05-30,14.0,10,2025-05
EVT00127,USR0139,Technology,OneDrive,File Sharing,2025-04-13,15.0,5,2025-04
EVT00128,USR0236,Operations,SharePoint,File Sharing,2025-04-03,26.1,4,2025-04
EVT00129,USR0172,Operations,OneDrive,Video Conferencing,2025-02-26,24.4,9,2025-02
EVT00130,USR0037,Operations,SharePoint,Project Management,2025-02-05,26.1,14,2025-02
EVT00131,USR0093,Technology,Microsoft Teams,Team Chat,2025-05-11,56.4,9,2025-05
EVT00132,USR0194,Marketing,Power BI,Video Conferencing,2025-05-07,23.9,3,2025-05
EVT00133,USR0200,Sales,Microsoft Teams,Document Collaboration,2025-01-24,35.9,7,2025-01
EVT00134,USR0040,Operations,Viva Insights,Video Conferencing,2025-01-13,41.5,12,2025-01
EVT00135,USR0031,Operations,Viva Insights,Project Management,2025-01-29,21.1,7,2025-01
EVT00136,USR0010,Finance,Power BI,Project Management,2025-02-09,37.6,15,2025-02
EVT00137,USR0182,Marketing,Power BI,Team Chat,2025-06-10,26.8,3,2025-06
EVT00138,USR0062,Finance,Power BI,Project Management,2025-02-10,21.4,8,2025-02
EVT00139,USR0049,Finance,Power BI,Analytics Portal,2025-06-24,2.6,0,2025-06
EVT00140,USR0029,Sales,Viva Insights,Document Collaboration,2025-04-19,21.8,0,2025-04
EVT00141,USR0040,Operations,Power BI,Team Chat,2025-06-02,64.1,15,2025-06
EVT00142,USR0139,Technology,Microsoft Teams,Team Chat,2025-01-17,56.6,14,2025-01
EVT00143,USR0071,Sales,Microsoft Teams,Document Collaboration,2025-04-09,21.4,3,2025-04
EVT00144,USR0198,Sales,SharePoint,File Sharing,2025-04-08,16.8,9,2025-04
EVT00145,USR0069,Technology,Power BI,File Sharing,2025-06-02,2.3,9,2025-06
EVT00146,USR0264,Marketing,SharePoint,Project Management,2025-04-30,52.4,9,2025-04
EVT00147,USR0174,Marketing,SharePoint,Analytics Portal,2025-05-16,59.1,16,2025-05
EVT00148,USR0200,Sales,Microsoft Teams,Video Conferencing,2025-03-06,7.6,13,2025-03
EVT00149,USR0073,HR,Power BI,Video Conferencing,2025-05-22,3.3,1,2025-05
EVT00150,USR0290,HR,Viva Insights,File Sharing,2025-01-03,39.1,9,2025-01
EVT00151,USR0211,Legal,SharePoint,File Sharing,2025-06-24,10.2,2,2025-06
EVT00152,USR0200,Sales,Power BI,Team Chat,2025-01-30,45.7,2,2025-01
EVT00153,USR0055,Finance,Viva Insights,Document Collaboration,2025-06-24,3.2,3,2025-06
EVT00154,USR0203,Finance,Power BI,Video Conferencing,2025-05-18,12.8,0,2025-05
EVT00155,USR0177,Marketing,Viva Insights,Video Conferencing,2025-03-10,41.9,15,2025-03
EVT00156,USR0094,Operations,SharePoint,Analytics Portal,2025-06-14,27.0,4,2025-06
EVT00157,USR0093,Technology,Microsoft Teams,Team Chat,2025-03-29,14.7,4,2025-03
EVT00158,USR0197,Sales,Power BI,Video Conferencing,2025-01-29,7.7,3,2025-01
EVT00159,USR0014,HR,SharePoint,Analytics Portal,2025-03-17,6.7,5,2025-03
EVT00160,USR0107,Legal,Viva Insights,File Sharing,2025-04-22,9.2,5,2025-04
EVT00161,USR0103,Sales,Viva Insights,Document Collaboration,2025-02-10,10.9,2,2025-02
EVT00162,USR0161,Marketing,Power BI,Document Collaboration,2025-04-27,2.5,1,2025-04
EVT00163,USR0122,Sales,Viva Insights,Project Management,2025-01-01,14.0,7,2025-01
EVT00164,USR0220,Legal,Microsoft Teams,Project Management,2025-03-09,9.5,1,2025-03
EVT00165,USR0234,Legal,Power BI,Document Collaboration,2025-05-09,4.2,4,2025-05
EVT00166,USR0006,Finance,SharePoint,Analytics Portal,2025-02-15,11.6,0,2025-02
EVT00167,USR0257,Operations,Power BI,Project Management,2025-05-10,41.7,1,2025-05
EVT00168,USR0129,Legal,SharePoint,File Sharing,2025-01-28,38.3,4,2025-01
EVT00169,USR0160,Operations,Power BI,File Sharing,2025-06-10,15.1,5,2025-06
EVT00170,USR0089,Technology,OneDrive,Team Chat,2025-03-18,52.5,6,2025-03
EVT00171,USR0016,Marketing,Power BI,Project Management,2025-06-13,32.0,9,2025-06
EVT00172,USR0260,Finance,Microsoft Teams,Document Collaboration,2025-05-10,30.6,10,2025-05
EVT00173,USR0219,HR,Microsoft Teams,File Sharing,2025-06-05,2.5,4,2025-06
EVT00174,USR0226,Sales,Viva Insights,Document Collaboration,2025-02-20,4.8,6,2025-02
EVT00175,USR0125,Technology,SharePoint,Video Conferencing,2025-02-09,24.0,7,2025-02
EVT00176,USR0263,Legal,Microsoft Teams,Video Conferencing,2025-04-06,12.3,0,2025-04
EVT00177,USR0239,HR,Power BI,Team Chat,2025-02-11,21.8,4,2025-02
EVT00178,USR0270,HR,SharePoint,Document Collaboration,2025-05-19,3.5,11,2025-05
EVT00179,USR0211,Legal,Microsoft Teams,Project Management,2025-05-16,8.7,2,2025-05
EVT00180,USR0177,Marketing,Microsoft Teams,File Sharing,2025-01-01,60.5,13,2025-01
EVT00181,USR0161,Marketing,SharePoint,Team Chat,2025-06-03,1.9,0,2025-06
EVT00182,USR0060,Finance,Power BI,Analytics Portal,2025-03-24,44.7,7,2025-03
EVT00183,USR0026,Operations,Power BI,Analytics Portal,2025-05-06,36.7,4,2025-05
EVT00184,USR0166,Sales,Viva Insights,Video Conferencing,2025-01-05,20.5,6,2025-01
EVT00185,USR0070,Finance,Microsoft Teams,Document Collaboration,2025-01-29,24.5,9,2025-01
EVT00186,USR0133,Operations,Power BI,Analytics Portal,2025-04-03,6.8,5,2025-04
EVT00187,USR0152,Finance,Power BI,Document Collaboration,2025-03-20,60.6,15,2025-03
EVT00188,USR0042,Marketing,Power BI,Team Chat,2025-03-03,45.2,9,2025-03
EVT00189,USR0122,Sales,Microsoft Teams,Document Collaboration,2025-01-15,7.6,2,2025-01
EVT00190,USR0215,Finance,SharePoint,Project Management,2025-03-03,1.8,0,2025-03
EVT00191,USR0161,Marketing,Viva Insights,Analytics Portal,2025-05-26,34.3,6,2025-05
EVT00192,USR0013,Technology,Viva Insights,File Sharing,2025-01-21,4.9,1,2025-01
EVT00193,USR0025,Operations,OneDrive,Team Chat,2025-01-22,59.7,0,2025-01
EVT00194,USR0132,Marketing,SharePoint,Document Collaboration,2025-05-05,22.2,1,2025-05
EVT00195,USR0129,Legal,Power BI,Team Chat,2025-01-18,33.2,9,2025-01
EVT00196,USR0010,Finance,SharePoint,File Sharing,2025-05-17,14.3,7,2025-05
EVT00197,USR0047,HR,Viva Insights,File Sharing,2025-02-02,5.7,5,2025-02
EVT00198,USR0268,Legal,Viva Insights,Document Collaboration,2025-02-02,10.7,3,2025-02
EVT00199,USR0207,Legal,OneDrive,File Sharing,2025-06-18,11.3,0,2025-06
EVT00200,USR0252,Marketing,Microsoft Teams,Project Management,2025-05-02,8.6,4,2025-05
EVT00201,USR0108,HR,SharePoint,Document Collaboration,2025-05-21,32.5,4,2025-05
EVT00202,USR0054,Technology,OneDrive,Project Management,2025-02-12,12.4,16,2025-02
EVT00203,USR0027,HR,SharePoint,Analytics Portal,2025-03-09,25.5,5,2025-03
EVT00204,USR0022,HR,Microsoft Teams,File Sharing,2025-05-16,17.4,1,2025-05
EVT00205,USR0141,Technology,SharePoint,File Sharing,2025-06-05,29.1,0,2025-06
EVT00206,USR0193,Finance,Power BI,Team Chat,2025-04-19,26.0,2,2025-04
EVT00207,USR0039,HR,Microsoft Teams,Team Chat,2025-02-24,14.3,11,2025-02
EVT00208,USR0209,Operations,SharePoint,Analytics Portal,2025-05-19,26.3,8,2025-05
EVT00209,USR0049,Finance,Viva Insights,Document Collaboration,2025-06-26,25.3,1,2025-06
EVT00210,USR0212,Finance,Power BI,File Sharing,2025-02-21,27.2,4,2025-02
EVT00211,USR0184,Marketing,Microsoft Teams,Project Management,2025-03-21,47.8,8,2025-03
EVT00212,USR0263,Legal,SharePoint,Video Conferencing,2025-04-13,1.2,1,2025-04
EVT00213,USR0206,Sales,OneDrive,Team Chat,2025-06-21,2.1,0,2025-06
EVT00214,USR0109,Finance,Microsoft Teams,Document Collaboration,2025-06-16,14.7,1,2025-06
EVT00215,USR0047,HR,Microsoft Teams,Video Conferencing,2025-04-06,12.6,3,2025-04
EVT00216,USR0221,Operations,Microsoft Teams,Analytics Portal,2025-04-23,55.4,18,2025-04
EVT00217,USR0100,HR,OneDrive,Document Collaboration,2025-05-13,18.2,5,2025-05
EVT00218,USR0174,Marketing,Viva Insights,Team Chat,2025-04-26,39.5,15,2025-04
EVT00219,USR0252,Marketing,Viva Insights,Video Conferencing,2025-01-31,1.1,6,2025-01
EVT00220,USR0005,Marketing,Viva Insights,Project Management,2025-03-05,11.1,7,2025-03
EVT00221,USR0113,Legal,Power BI,Analytics Portal,2025-02-27,10.0,0,2025-02
EVT00222,USR0053,Finance,Viva Insights,Team Chat,2025-01-17,27.4,7,2025-01
EVT00223,USR0116,HR,Microsoft Teams,Document Collaboration,2025-03-28,5.0,3,2025-03
EVT00224,USR0100,HR,SharePoint,Analytics Portal,2025-01-06,33.1,1,2025-01
EVT00225,USR0053,Finance,OneDrive,Video Conferencing,2025-05-31,45.5,2,2025-05
EVT00226,USR0262,Sales,Viva Insights,Team Chat,2025-05-22,11.9,8,2025-05
EVT00227,USR0189,Sales,Viva Insights,Analytics Portal,2025-02-28,50.9,7,2025-02
EVT00228,USR0240,Operations,SharePoint,File Sharing,2025-05-31,47.1,11,2025-05
EVT00229,USR0013,Technology,Power BI,File Sharing,2025-02-26,12.3,17,2025-02
EVT00230,USR0046,Finance,OneDrive,Team Chat,2025-01-02,71.8,12,2025-01
EVT00231,USR0174,Marketing,Viva Insights,Document Collaboration,2025-01-19,18.3,4,2025-01
EVT00232,USR0021,Legal,SharePoint,Video Conferencing,2025-06-11,22.7,0,2025-06
EVT00233,USR0236,Operations,Power BI,File Sharing,2025-01-16,35.8,7,2025-01
EVT00234,USR0239,HR,Microsoft Teams,Video Conferencing,2025-02-28,13.9,1,2025-02
EVT00235,USR0271,Legal,Power BI,Video Conferencing,2025-01-18,16.6,4,2025-01
EVT00236,USR0267,Marketing,OneDrive,Document Collaboration,2025-01-09,28.4,7,2025-01
EVT00237,USR0115,Technology,Viva Insights,Document Collaboration,2025-03-26,5.2,1,2025-03
EVT00238,USR0071,Sales,OneDrive,Project Management,2025-01-19,18.9,2,2025-01
EVT00239,USR0188,HR,Viva Insights,Analytics Portal,2025-05-12,41.3,6,2025-05
EVT00240,USR0063,Marketing,Viva Insights,Video Conferencing,2025-03-02,53.9,5,2025-03
EVT00241,USR0206,Sales,Microsoft Teams,Team Chat,2025-03-13,3.7,1,2025-03
EVT00242,USR0168,Technology,Viva Insights,Analytics Portal,2025-06-21,42.6,19,2025-06
EVT00243,USR0176,Sales,SharePoint,Team Chat,2025-05-05,27.8,3,2025-05
EVT00244,USR0062,Finance,OneDrive,Document Collaboration,2025-02-24,30.2,0,2025-02
EVT00245,USR0257,Operations,Viva Insights,Project Management,2025-05-19,18.3,11,2025-05
EVT00246,USR0197,Sales,OneDrive,Video Conferencing,2025-02-03,5.0,1,2025-02
EVT00247,USR0250,Operations,Viva Insights,Analytics Portal,2025-05-27,29.4,8,2025-05
EVT00248,USR0169,Sales,SharePoint,File Sharing,2025-05-28,16.3,1,2025-05
EVT00249,USR0154,Marketing,Power BI,File Sharing,2025-05-02,5.5,3,2025-05
EVT00250,USR0134,Finance,Microsoft Teams,Team Chat,2025-03-04,32.7,1,2025-03
EVT00251,USR0071,Sales,OneDrive,Team Chat,2025-05-02,16.7,9,2025-05
EVT00252,USR0037,Operations,Power BI,Analytics Portal,2025-04-15,27.9,10,2025-04
EVT00253,USR0081,Finance,Microsoft Teams,Project Management,2025-02-18,32.5,4,2025-02
EVT00254,USR0127,Technology,OneDrive,Project Management,2025-01-25,7.0,5,2025-01
EVT00255,USR0253,Sales,Viva Insights,Document Collaboration,2025-01-25,23.9,5,2025-01
EVT00256,USR0244,Finance,Viva Insights,File Sharing,2025-06-18,7.5,6,2025-06
EVT00257,USR0070,Finance,Viva Insights,Analytics Portal,2025-04-21,11.9,9,2025-04
EVT00258,USR0017,Sales,Microsoft Teams,File Sharing,2025-04-01,25.6,7,2025-04
EVT00259,USR0253,Sales,OneDrive,Document Collaboration,2025-04-19,24.6,5,2025-04
EVT00260,USR0300,HR,OneDrive,Team Chat,2025-04-16,3.5,0,2025-04
EVT00261,USR0097,Sales,OneDrive,Video Conferencing,2025-04-30,3.5,7,2025-04
EVT00262,USR0135,Marketing,Microsoft Teams,Team Chat,2025-01-14,9.4,5,2025-01
EVT00263,USR0153,Legal,Power BI,Document Collaboration,2025-06-22,34.5,8,2025-06
EVT00264,USR0246,Operations,Viva Insights,Video Conferencing,2025-06-17,2.5,9,2025-06
EVT00265,USR0009,Legal,Microsoft Teams,Team Chat,2025-06-15,13.0,2,2025-06
EVT00266,USR0157,Operations,Viva Insights,Document Collaboration,2025-01-26,28.8,4,2025-01
EVT00267,USR0189,Sales,OneDrive,Project Management,2025-01-16,19.0,10,2025-01
EVT00268,USR0187,HR,OneDrive,Document Collaboration,2025-04-14,6.3,11,2025-04
EVT00269,USR0272,Operations,Microsoft Teams,File Sharing,2025-03-28,18.9,4,2025-03
EVT00270,USR0079,HR,Power BI,Project Management,2025-01-28,43.5,4,2025-01
EVT00271,USR0294,Legal,Viva Insights,Team Chat,2025-03-05,6.2,1,2025-03
EVT00272,USR0058,Legal,OneDrive,Analytics Portal,2025-02-19,3.6,5,2025-02
EVT00273,USR0012,Marketing,Microsoft Teams,File Sharing,2025-02-18,16.7,4,2025-02
EVT00274,USR0104,Sales,SharePoint,Project Management,2025-05-18,17.6,3,2025-05
EVT00275,USR0060,Finance,SharePoint,Analytics Portal,2025-04-25,46.9,4,2025-04
EVT00276,USR0112,Legal,Power BI,Team Chat,2025-02-05,9.0,3,2025-02
EVT00277,USR0068,Operations,Power BI,Document Collaboration,2025-04-19,11.9,5,2025-04
EVT00278,USR0234,Legal,OneDrive,Team Chat,2025-02-16,2.9,8,2025-02
EVT00279,USR0149,Technology,Power BI,File Sharing,2025-03-13,40.2,8,2025-03
EVT00280,USR0285,Technology,Viva Insights,Team Chat,2025-04-29,34.8,2,2025-04
EVT00281,USR0118,HR,Microsoft Teams,File Sharing,2025-03-05,20.3,5,2025-03
EVT00282,USR0184,Marketing,SharePoint,Document Collaboration,2025-01-20,42.9,9,2025-01
EVT00283,USR0236,Operations,Viva Insights,Video Conferencing,2025-04-24,28.2,3,2025-04
EVT00284,USR0081,Finance,Power BI,Project Management,2025-05-21,48.9,9,2025-05
EVT00285,USR0050,Sales,SharePoint,Document Collaboration,2025-01-26,21.8,4,2025-01
EVT00286,USR0038,Sales,Power BI,Analytics Portal,2025-01-13,14.8,10,2025-01
EVT00287,USR0014,HR,Power BI,Analytics Portal,2025-06-16,10.3,0,2025-06
EVT00288,USR0079,HR,Microsoft Teams,File Sharing,2025-05-19,49.2,1,2025-05
EVT00289,USR0006,Finance,Power BI,File Sharing,2025-01-04,0.6,1,2025-01
EVT00290,USR0232,Technology,Microsoft Teams,File Sharing,2025-01-24,22.2,13,2025-01
EVT00291,USR0134,Finance,Microsoft Teams,Project Management,2025-03-02,31.9,5,2025-03
EVT00292,USR0061,Technology,Microsoft Teams,File Sharing,2025-02-12,21.4,3,2025-02
EVT00293,USR0070,Finance,SharePoint,Analytics Portal,2025-04-15,35.1,1,2025-04
EVT00294,USR0286,Legal,SharePoint,Analytics Portal,2025-05-05,2.6,8,2025-05
EVT00295,USR0127,Technology,Microsoft Teams,Team Chat,2025-05-04,2.2,5,2025-05
EVT00296,USR0233,Finance,Microsoft Teams,Video Conferencing,2025-02-24,20.8,4,2025-02
EVT00297,USR0085,Marketing,OneDrive,Video Conferencing,2025-04-13,2.4,3,2025-04
EVT00298,USR0163,HR,Microsoft Teams,File Sharing,2025-01-16,5.9,2,2025-01
EVT00299,USR0296,Technology,Viva Insights,Project Management,2025-02-12,18.4,2,2025-02
